heightOfBoard,widthOfBoard,numberOfMine,seed,r0,c0,summonMode,iterateMode,sTime,msTime,solved3BV,total3BV,isHelped
16,30,99,1729514434,5,3,3,-2,26,26000,53,172,0
16,30,99,1729514462,8,3,3,-2,60,60000,125,177,0
16,30,99,1729514527,6,5,3,-2,34,34000,77,201,0
16,30,99,1729514569,6,8,3,-2,98,98000,174,174,0
16,30,99,1729514678,8,10,3,-2,10,10000,11,198,0
16,30,99,1729514693,6,6,3,-2,88,88000,177,177,0
16,30,99,1729514807,4,3,3,-2,14,14000,23,170,0
16,30,99,1729514824,6,4,3,-2,85,85000,157,157,0
16,30,99,1729514919,5,5,3,-2,74,74000,138,169,0
16,30,99,1729514998,5,7,3,-2,86,86000,194,218,0
16,30,99,1729515118,2,6,3,-2,93,93000,172,190,0
16,30,99,1729515187,5,11,3,-2,67,67000,148,191,0
16,30,99,1729515282,6,2,3,-2,35,35000,73,189,0
16,30,99,1729515303,6,5,3,-2,6,6000,14,173,0
16,30,99,1729515307,6,4,3,-2,25,25000,35,176,0
16,30,99,1729515341,5,1,3,-2,43,43000,91,165,0
16,30,99,1729515395,7,8,3,-2,11,11000,24,193,0
16,30,99,1729515398,6,5,3,-2,85,85000,181,181,0
16,30,99,1729515514,7,6,3,-2,21,21000,36,154,0
16,30,99,1729515534,6,6,3,-2,87,87000,148,148,0
16,30,99,1729515644,5,7,3,-2,20,20000,50,176,0
16,30,99,1729515659,5,2,3,-2,22,22000,48,149,0
16,30,99,1729515674,6,6,3,-2,29,29000,48,175,0
16,30,99,1729515709,8,3,3,-2,39,39000,88,189,0
16,30,99,1729515750,4,7,3,-2,90,90000,178,178,0
16,30,99,1729515845,6,3,3,-2,98,98000,182,182,0
16,30,99,1729515947,8,7,3,-2,2,2000,6,193,0
16,30,99,1729515952,7,4,3,-2,4,4000,4,186,0
16,30,99,1729515958,5,4,3,-2,68,68000,157,193,0
16,30,99,1729516037,6,2,3,-2,17,17000,31,133,0
16,30,99,1729516059,7,8,3,-2,1,1000,1,182,0
16,30,99,1729516064,7,7,3,-2,83,83000,170,170,0
16,30,99,1729516190,5,5,3,-2,29,29000,70,168,0
16,30,99,1729516214,6,4,3,-2,76,76000,179,179,0
16,30,99,1729516404,6,3,3,-2,34,34000,55,194,0
16,30,99,1729516445,3,5,3,-2,14,14000,20,154,0
16,30,99,1729516467,5,4,3,-2,54,54000,106,180,0
16,30,99,1729516524,5,6,3,-2,87,87000,155,155,0
16,30,99,1729516652,3,7,3,-2,19,19000,36,195,0
16,30,99,1729516678,7,1,3,-2,16,16000,34,156,0
16,30,99,1729516688,5,5,3,-2,92,92000,185,185,0
16,30,99,1729516789,8,6,3,-2,90,90000,168,190,0
16,30,99,1729516885,6,5,3,-2,91,91000,161,161,0
16,30,99,1729516983,7,6,3,-2,30,30000,55,160,0
